Dato,Sunrise_UTC,Sunset_UTC,First_surf_start_UTC,First_surf_end_UTC,Last_surf_start_UTC,Last_surf_end_UTC
22.07,03:05,20:11,02:05,02:35,20:41,21:11
23.07,03:07,20:09,02:08,02:37,20:38,21:08
24.07,03:09,20:07,02:10,02:39,20:36,21:05
25.07,03:11,20:05,02:13,02:42,20:34,21:03
26.07,03:13,20:03,02:15,02:44,20:31,21:00
27.07,03:15,20:01,02:18,02:46,20:29,20:57
28.07,03:17,19:59,02:21,02:49,20:27,20:55
29.07,03:19,19:57,02:23,02:51,20:24,20:52
30.07,03:21,19:55,02:26,02:53,20:22,20:49
31.07,03:23,19:53,02:29,02:56,20:20,20:47
1.08,03:25,19:51,02:31,02:58,20:17,20:44
2.08,03:27,19:48,02:34,03:00,20:14,20:41
3.08,03:29,19:46,02:37,03:03,20:12,20:38
4.08,03:32,19:44,02:39,03:05,20:09,20:35
5.08,03:34,19:41,02:42,03:08,20:06,20:32
6.08,03:36,19:39,02:45,03:10,20:04,20:30
7.08,03:38,19:37,02:47,03:12,20:02,20:27
8.08,03:40,19:34,02:50,03:15,19:59,20:24
9.08,03:42,19:32,02:53,03:17,19:56,20:21
10.08,03:45,19:29,02:55,03:20,19:53,20:18
11.08,03:47,19:27,02:58,03:22,19:51,20:15
12.08,03:49,19:24,03:00,03:24,19:48,20:12
13.08,03:51,19:22,03:03,03:27,19:45,20:09
14.08,03:53,19:19,03:06,03:29,19:42,20:06
15.08,03:55,19:17,03:08,03:31,19:40,20:03
16.08,03:58,19:14,03:11,03:34,19:37,20:00
17.08,04:00,19:11,03:13,03:36,19:34,19:57
18.08,04:02,19:09,03:16,03:39,19:32,19:55
19.08,04:04,19:06,03:18,03:41,19:29,19:52
20.08,04:06,19:03,03:21,03:43,19:26,19:49
21.08,04:08,19:01,03:23,03:45,19:23,19:46
22.08,04:11,18:58,03:26,03:48,19:20,19:43
23.08,04:13,18:55,03:28,03:50,19:17,19:40
24.08,04:15,18:53,03:31,03:53,19:15,19:37
25.08,04:17,18:50,03:33,03:55,19:12,19:34
26.08,04:19,18:47,03:36,03:57,19:09,19:31
27.08,04:21,18:45,03:38,03:59,19:06,19:28
28.08,04:24,18:42,03:41,04:02,19:03,19:25
29.08,04:26,18:39,03:43,04:04,19:00,19:22
30.08,04:28,18:36,03:45,04:06,18:57,19:19
31.08,04:30,18:34,03:48,04:09,18:55,19:16
1.09,04:32,18:31,03:50,04:11,18:52,19:13
2.09,04:34,18:28,03:53,04:13,18:49,19:10
3.09,04:37,18:25,03:55,04:16,18:46,19:07
4.09,04:39,18:22,03:57,04:18,18:43,19:04
5.09,04:41,18:20,04:00,04:20,18:40,19:01
6.09,04:43,18:17,04:02,04:22,18:37,18:58
7.09,04:45,18:14,04:04,04:24,18:34,18:55
8.09,04:47,18:11,04:06,04:26,18:31,18:52
9.09,04:49,18:08,04:09,04:29,18:28,18:49
10.09,04:52,18:05,04:11,04:31,18:25,18:46
11.09,04:54,18:03,04:13,04:33,18:23,18:43
12.09,04:56,18:00,04:16,04:36,18:20,18:40
13.09,04:58,17:57,04:18,04:38,18:17,18:37
14.09,05:00,17:54,04:20,04:40,18:14,18:34
15.09,05:02,17:51,04:22,04:42,18:11,18:31
16.09,05:04,17:48,04:25,04:44,18:08,18:28
17.09,05:07,17:46,04:27,04:47,18:05,18:25
18.09,05:09,17:43,04:29,04:49,18:02,18:22
19.09,05:11,17:40,04:31,04:51,17:59,18:19
20.09,05:13,17:37,04:34,04:53,17:56,18:16
21.09,05:15,17:34,04:36,04:55,17:53,18:13
22.09,05:17,17:31,04:38,04:57,17:50,18:10
23.09,05:19,17:28,04:40,04:59,17:48,18:08
24.09,05:22,17:26,04:42,05:02,17:45,18:05
25.09,05:24,17:23,04:45,05:04,17:42,18:02
26.09,05:26,17:20,04:47,05:06,17:39,17:59
27.09,05:28,17:17,04:49,05:08,17:36,17:56
28.09,05:30,17:14,04:51,05:10,17:33,17:53
29.09,05:32,17:11,04:53,05:12,17:30,17:50
30.09,05:35,17:09,04:55,05:15,17:28,17:48
1.1,06:37,18:06,05:58,06:17,18:25,18:45
2.1,06:39,18:03,06:00,06:19,18:22,18:42
3.1,06:41,18:00,06:02,06:21,18:19,18:39
4.1,06:43,17:57,06:04,06:23,18:16,18:36
5.1,06:46,17:55,06:06,06:26,18:14,18:34
6.1,06:48,17:52,06:08,06:28,18:11,18:31
7.1,06:50,17:49,06:11,06:30,18:08,18:28
8.1,06:52,17:46,06:13,06:32,18:05,18:25
9.1,06:54,17:43,06:15,06:34,18:03,18:23
10.1,06:57,17:41,06:17,06:37,18:00,18:20
11.1,06:59,17:38,06:19,06:39,17:57,18:17
12.1,07:01,17:35,06:21,06:41,17:55,18:15
13.1,07:03,17:32,06:24,06:43,17:52,18:12
14.1,07:06,17:30,06:26,06:46,17:49,18:09
15.1,07:08,17:27,06:28,06:48,17:47,18:07
16.1,07:10,17:24,06:30,06:50,17:44,18:04
17.1,07:12,17:22,06:32,06:52,17:42,18:02
18.1,07:15,17:19,06:34,06:54,17:39,17:59
19.1,07:17,17:16,06:37,06:57,17:36,17:57
20.1,07:19,17:14,06:39,06:59,17:34,17:54
21.1,07:22,17:11,06:41,07:01,17:31,17:52
22.1,07:24,17:09,06:43,07:03,17:29,17:49
23.1,07:26,17:06,06:45,07:05,17:26,17:47
24.1,07:29,17:03,06:48,07:08,17:23,17:44
25.1,07:31,17:01,06:50,07:10,17:21,17:42
26.1,06:33,15:58,05:52,06:12,16:19,16:40
27.1,06:35,15:56,05:54,06:14,16:16,16:37
28.1,06:38,15:53,05:56,06:17,16:14,16:35
29.1,06:40,15:51,05:58,06:19,16:12,16:33
30.1,06:42,15:49,06:00,06:21,16:09,16:30
31.1,06:45,15:46,06:03,06:24,16:07,16:28
1.11,06:47,15:44,06:05,06:26,16:05,16:26
2.11,06:50,15:41,06:07,06:28,16:02,16:24
3.11,06:52,15:39,06:09,06:30,16:00,16:22
4.11,06:54,15:37,06:11,06:32,15:58,16:20
5.11,06:57,15:34,06:13,06:35,15:56,16:18
6.11,06:59,15:32,06:15,06:37,15:54,16:16
7.11,07:01,15:30,06:18,06:39,15:52,16:14
8.11,07:04,15:28,06:20,06:42,15:50,16:12
9.11,07:06,15:26,06:22,06:44,15:48,16:10
10.11,07:08,15:23,06:24,06:46,15:45,16:08
11.11,07:10,15:21,06:26,06:48,15:43,16:06
12.11,07:13,15:19,06:28,06:50,15:41,16:04
13.11,07:15,15:17,06:30,06:52,15:39,16:02
14.11,07:17,15:15,06:32,06:54,15:38,16:01
15.11,07:20,15:13,06:34,06:57,15:36,15:59
16.11,07:22,15:12,06:36,06:59,15:34,15:57
17.11,07:24,15:10,06:38,07:01,15:33,15:56
18.11,07:26,15:08,06:40,07:03,15:31,15:54
19.11,07:29,15:06,06:42,07:05,15:29,15:53
20.11,07:31,15:04,06:44,07:07,15:27,15:51
21.11,07:33,15:03,06:46,07:09,15:26,15:50
22.11,07:35,15:01,06:48,07:11,15:25,15:49
23.11,07:37,15:00,06:50,07:13,15:23,15:47
24.11,07:39,14:58,06:51,07:15,15:22,15:46
25.11,07:41,14:57,06:53,07:17,15:21,15:45
26.11,07:43,14:55,06:55,07:19,15:19,15:44
27.11,07:45,14:54,06:57,07:21,15:18,15:43
28.11,07:47,14:53,06:59,07:23,15:17,15:42
29.11,07:49,14:52,07:00,07:24,15:16,15:41
30.11,07:51,14:50,07:02,07:26,15:15,15:40
1.12,07:53,14:49,07:03,07:28,15:14,15:39
2.12,07:55,14:48,07:05,07:30,15:13,15:38
3.12,07:57,14:47,07:07,07:32,15:12,15:37
4.12,07:58,14:47,07:08,07:33,15:12,15:37
5.12,08:00,14:46,07:09,07:34,15:11,15:36
6.12,08:01,14:45,07:11,07:36,15:10,15:36
7.12,08:03,14:44,07:12,07:37,15:09,15:35
8.12,08:04,14:44,07:13,07:38,15:09,15:35
9.12,08:06,14:43,07:15,07:40,15:08,15:34
10.12,08:07,14:43,07:16,07:41,15:08,15:34
11.12,08:09,14:42,07:17,07:43,15:08,15:34
12.12,08:10,14:42,07:18,07:44,15:08,15:34
13.12,08:11,14:42,07:19,07:45,15:08,15:34
14.12,08:12,14:42,07:20,07:46,15:08,15:34
15.12,08:13,14:42,07:21,07:47,15:08,15:34
16.12,08:14,14:42,07:22,07:48,15:08,15:34
17.12,08:15,14:42,07:23,07:49,15:08,15:34
18.12,08:16,14:42,07:23,07:49,15:08,15:34
19.12,08:16,14:43,07:24,07:50,15:09,15:35
20.12,08:17,14:43,07:25,07:51,15:09,15:35
21.12,08:18,14:43,07:25,07:51,15:09,15:36
22.12,08:18,14:44,07:26,07:52,15:10,15:36
23.12,08:18,14:45,07:26,07:52,15:11,15:37
24.12,08:19,14:45,07:27,07:53,15:11,15:37
25.12,08:19,14:46,07:27,07:53,15:12,15:38
26.12,08:19,14:47,07:27,07:53,15:13,15:39
27.12,08:19,14:48,07:27,07:53,15:14,15:40
28.12,08:19,14:49,07:27,07:53,15:15,15:41
29.12,08:19,14:50,07:27,07:53,15:16,15:42
30.12,08:19,14:51,07:27,07:53,15:17,15:43
31.12,08:19,14:52,07:27,07:53,15:18,15:44
